OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,ADMIN_LEVEL,Y,X,YEAR,COUNTRY,DISEASE
6863,Literature,polygon,1,41.3309,19.822,2006,Albania,Visceral
7347,Literature,polygon,1,41.4942,20.2201,2002,Albania,Visceral
7186,Literature,polygon,1,40.3172,20.6335,2003,Albania,Visceral
6681,Literature,polygon,1,40.3403,19.5772,2004,Albania,Visceral
7650,Literature,polygon,1,41.5096,19.7381,1996,Albania,Visceral
7252,Literature,polygon,1,40.793,19.5222,1995,Albania,Visceral
7237,Literature,polygon,1,40.3277,19.9617,2008,Albania,Visceral
7357,Literature,polygon,1,40.94,20.61,1999,Albania,Visceral
7558,Literature,polygon,1,41.3418,19.4649,2007,Albania,Visceral
6749,Literature,polygon,1,42.16,19.61,2001,Albania,Visceral
7032,Literature,polygon,1,41.7324,20.3764,2006,Albania,Visceral
7497,Literature,polygon,1,40.6452,20.9549,2009,Albania,Visceral
6761,Literature,polygon,1,42.0789,19.5343,2006,Albania,Visceral
7225,Literature,polygon,1,40.3277,19.9617,1996,Albania,Visceral
6762,Literature,polygon,1,42.0789,19.5343,2007,Albania,Visceral
7074,Literature,polygon,1,42,20.37,1997,Albania,Visceral
6757,Literature,polygon,1,42.0789,19.5343,2002,Albania,Visceral
7578,Literature,polygon,1,42.2133,20.3739,2007,Albania,Visceral
7236,Literature,polygon,1,40.3277,19.9617,2007,Albania,Visceral
7248,Literature,polygon,1,40.71,19.56,1998,Albania,Visceral
7660,Literature,polygon,1,41.5096,19.7381,2006,Albania,Visceral
6748,Literature,polygon,1,42.16,19.61,2000,Albania,Visceral
7611,Literature,polygon,1,40.5409,19.7997,2007,Albania,Visceral
7612,Literature,polygon,1,40.5409,19.7997,2008,Albania,Visceral
7581,Literature,polygon,1,41.14,19.59,1997,Albania,Visceral
6679,Literature,polygon,1,40.3403,19.5772,2002,Albania,Visceral
6859,Literature,polygon,1,41.3309,19.822,2002,Albania,Visceral
7648,Literature,polygon,1,41.5,19.74,2001,Albania,Visceral
6951,Literature,polygon,1,42.4012,20.021,1995,Albania,Visceral
7261,Literature,polygon,1,40.793,19.5222,2004,Albania,Visceral
7262,Literature,polygon,1,40.793,19.5222,2005,Albania,Visceral
6911,Literature,polygon,1,42.4022,19.6035,1995,Albania,Visceral
7235,Literature,polygon,1,40.3277,19.9617,2006,Albania,Visceral
7249,Literature,polygon,1,40.71,19.56,1999,Albania,Visceral
6898,Literature,polygon,1,40.1306,20.1567,2007,Albania,Visceral
7196,Literature,polygon,1,40.55,20.24,2000,Albania,Visceral
7156,Literature,polygon,1,40.6869,20.0441,2008,Albania,Visceral
7613,Literature,polygon,1,40.5409,19.7997,2009,Albania,Visceral
7615,Literature,polygon,1,39.98,20.06,1998,Albania,Visceral
7259,Literature,polygon,1,40.793,19.5222,2002,Albania,Visceral
7389,Literature,polygon,1,40.92,19.63,1998,Albania,Visceral
7260,Literature,polygon,1,40.793,19.5222,2003,Albania,Visceral
6526,Literature,polygon,1,40.68,20.63,1998,Albania,Visceral
7554,Literature,polygon,1,41.3418,19.4649,2003,Albania,Visceral
7224,Literature,polygon,1,40.3277,19.9617,1995,Albania,Visceral
6912,Literature,polygon,1,42.4022,19.6035,1996,Albania,Visceral
6842,Literature,polygon,1,41.31,19.9,1997,Albania,Visceral
7354,Literature,polygon,1,41.4942,20.2201,2009,Albania,Visceral
7136,Literature,polygon,1,40.3005,20.3572,2008,Albania,Visceral
7336,Literature,polygon,1,41.46,20.33,1998,Albania,Visceral
7154,Literature,polygon,1,40.6869,20.0441,2006,Albania,Visceral
7033,Literature,polygon,1,41.7324,20.3764,2007,Albania,Visceral
7223,Literature,polygon,1,40.35,19.95,2001,Albania,Visceral
7631,Literature,polygon,1,39.9408,20.0966,2007,Albania,Visceral
7547,Literature,polygon,1,41.3418,19.4649,1996,Albania,Visceral
7016,Literature,polygon,1,41.73,20.34,1997,Albania,Visceral
7140,Literature,polygon,1,40.68,19.94,1999,Albania,Visceral
7350,Literature,polygon,1,41.4942,20.2201,2005,Albania,Visceral
7181,Literature,polygon,1,40.3172,20.6335,1998,Albania,Visceral
7029,Literature,polygon,1,41.7324,20.3764,2003,Albania,Visceral
7233,Literature,polygon,1,40.3277,19.9617,2004,Albania,Visceral
7355,Literature,polygon,1,40.94,20.61,1997,Albania,Visceral
7152,Literature,polygon,1,40.6869,20.0441,2004,Albania,Visceral
7559,Literature,polygon,1,41.3418,19.4649,2008,Albania,Visceral
6680,Literature,polygon,1,40.3403,19.5772,2003,Albania,Visceral
7496,Literature,polygon,1,40.6452,20.9549,2008,Albania,Visceral
6671,Literature,polygon,1,40.35,19.58,2001,Albania,Visceral
7286,Literature,polygon,1,40.8471,20.2528,2009,Albania,Visceral
7582,Literature,polygon,1,41.14,19.59,1998,Albania,Visceral
6918,Literature,polygon,1,42.4022,19.6035,2002,Albania,Visceral
6919,Literature,polygon,1,42.4022,19.6035,2003,Albania,Visceral
7351,Literature,polygon,1,41.4942,20.2201,2006,Albania,Visceral
7182,Literature,polygon,1,40.3172,20.6335,1999,Albania,Visceral
7575,Literature,polygon,1,42.2133,20.3739,2004,Albania,Visceral
7334,Literature,polygon,1,39.88,19.9964,2009,Albania,Visceral
6843,Literature,polygon,1,41.31,19.9,1998,Albania,Visceral
7031,Literature,polygon,1,41.7324,20.3764,2005,Albania,Visceral
7560,Literature,polygon,1,41.3418,19.4649,2009,Albania,Visceral
7155,Literature,polygon,1,40.6869,20.0441,2007,Albania,Visceral
7561,Literature,polygon,1,42.19,20.37,1997,Albania,Visceral
7199,Literature,polygon,1,41.57,20,1998,Albania,Visceral
6525,Literature,polygon,1,40.68,20.63,1997,Albania,Visceral
7545,Literature,polygon,1,41.41,19.52,2001,Albania,Visceral
7649,Literature,polygon,1,41.5096,19.7381,1995,Albania,Visceral
6938,Literature,polygon,1,41.1518,20.4096,2002,Albania,Visceral
7576,Literature,polygon,1,42.2133,20.3739,2005,Albania,Visceral
7555,Literature,polygon,1,41.3418,19.4649,2004,Albania,Visceral
7574,Literature,polygon,1,42.2133,20.3739,2003,Albania,Visceral
6747,Literature,polygon,1,42.16,19.61,1999,Albania,Visceral
6897,Literature,polygon,1,40.1306,20.1567,2006,Albania,Visceral
7197,Literature,polygon,1,40.55,20.24,2001,Albania,Visceral
7075,Literature,polygon,1,42,20.37,1998,Albania,Visceral
7198,Literature,polygon,1,41.57,20,1997,Albania,Visceral
7175,Literature,polygon,1,41.7959,19.9837,2007,Albania,Visceral
7080,Literature,polygon,1,42.0289,20.4172,1996,Albania,Visceral
6948,Literature,polygon,1,42.37,20.07,1999,Albania,Visceral
6947,Literature,polygon,1,42.37,20.07,1998,Albania,Visceral
7141,Literature,polygon,1,40.68,19.94,2000,Albania,Visceral
6887,Literature,polygon,1,40.1306,20.1567,1996,Albania,Visceral
6866,Literature,polygon,1,41.3309,19.822,2009,Albania,Visceral
7658,Literature,polygon,1,41.5096,19.7381,2004,Albania,Visceral
7556,Literature,polygon,1,41.3418,19.4649,2005,Albania,Visceral
7195,Literature,polygon,1,40.55,20.24,1999,Albania,Visceral
6945,Literature,polygon,1,41.1518,20.4096,2009,Albania,Visceral
7133,Literature,polygon,1,40.3005,20.3572,2005,Albania,Visceral
6673,Literature,polygon,1,40.3403,19.5772,1996,Albania,Visceral
6946,Literature,polygon,1,42.37,20.07,1997,Albania,Visceral
7630,Literature,polygon,1,39.9408,20.0966,2006,Albania,Visceral
7200,Literature,polygon,1,41.57,20,1999,Albania,Visceral
7201,Literature,polygon,1,41.57,20,2000,Albania,Visceral
7583,Literature,polygon,1,41.14,19.59,1999,Albania,Visceral
6959,Literature,polygon,1,42.4012,20.021,2003,Albania,Visceral
7263,Literature,polygon,1,40.793,19.5222,2006,Albania,Visceral
7021,Literature,polygon,1,41.7324,20.3764,1995,Albania,Visceral
7022,Literature,polygon,1,41.7324,20.3764,1996,Albania,Visceral
7557,Literature,polygon,1,41.3418,19.4649,2006,Albania,Visceral
7153,Literature,polygon,1,40.6869,20.0441,2005,Albania,Visceral
7628,Literature,polygon,1,39.9408,20.0966,2004,Albania,Visceral
7078,Literature,polygon,1,42,20.37,2001,Albania,Visceral
7629,Literature,polygon,1,39.9408,20.0966,2005,Albania,Visceral
7221,Literature,polygon,1,40.35,19.95,1999,Albania,Visceral
7546,Literature,polygon,1,41.3418,19.4649,1995,Albania,Visceral
7646,Literature,polygon,1,41.5,19.74,1999,Albania,Visceral
7222,Literature,polygon,1,40.35,19.95,2000,Albania,Visceral
7176,Literature,polygon,1,41.7959,19.9837,2008,Albania,Visceral
7177,Literature,polygon,1,41.7959,19.9837,2009,Albania,Visceral
7656,Literature,polygon,1,41.5096,19.7381,2002,Albania,Visceral
7234,Literature,polygon,1,40.3277,19.9617,2005,Albania,Visceral
7028,Literature,polygon,1,41.7324,20.3764,2002,Albania,Visceral
7134,Literature,polygon,1,40.3005,20.3572,2006,Albania,Visceral
6538,Literature,polygon,1,40.689,20.5545,2003,Albania,Visceral
7352,Literature,polygon,1,41.4942,20.2201,2007,Albania,Visceral
6672,Literature,polygon,1,40.3403,19.5772,1995,Albania,Visceral
7079,Literature,polygon,1,42.0289,20.4172,1995,Albania,Visceral
7285,Literature,polygon,1,40.8471,20.2528,2008,Albania,Visceral
7562,Literature,polygon,1,42.19,20.37,1998,Albania,Visceral
7157,Literature,polygon,1,40.6869,20.0441,2009,Albania,Visceral
6949,Literature,polygon,1,42.37,20.07,2000,Albania,Visceral
7192,Literature,polygon,1,40.3172,20.6335,2009,Albania,Visceral
7020,Literature,polygon,1,41.73,20.34,2001,Albania,Visceral
6745,Literature,polygon,1,42.16,19.61,1997,Albania,Visceral
7180,Literature,polygon,1,40.3172,20.6335,1997,Albania,Visceral
7151,Literature,polygon,1,40.6869,20.0441,2003,Albania,Visceral
826,Literature,point,-999,41.63,19.71,1997,Albania,Visceral
6670,Literature,polygon,1,40.35,19.58,2000,Albania,Visceral
7610,Literature,polygon,1,40.5409,19.7997,2006,Albania,Visceral
827,Literature,point,-999,41.63,19.71,1998,Albania,Visceral
828,Literature,point,-999,41.63,19.71,1999,Albania,Visceral
7466,Literature,polygon,1,41.7877,19.6461,2004,Albania,Visceral
7220,Literature,polygon,1,40.35,19.95,1998,Albania,Visceral
7202,Literature,polygon,1,41.57,20,2001,Albania,Visceral
6920,Literature,polygon,1,42.4022,19.6035,2004,Albania,Visceral
7585,Literature,polygon,1,41.14,19.59,2001,Albania,Visceral
7264,Literature,polygon,1,40.793,19.5222,2007,Albania,Visceral
7247,Literature,polygon,1,40.71,19.56,1997,Albania,Visceral
7135,Literature,polygon,1,40.3005,20.3572,2007,Albania,Visceral
7335,Literature,polygon,1,41.46,20.33,1997,Albania,Visceral
7077,Literature,polygon,1,42,20.37,2000,Albania,Visceral
7457,Literature,polygon,1,41.7877,19.6461,1995,Albania,Visceral
7174,Literature,polygon,1,41.7959,19.9837,2006,Albania,Visceral
6668,Literature,polygon,1,40.35,19.58,1998,Albania,Visceral
7645,Literature,polygon,1,41.5,19.74,1998,Albania,Visceral
7283,Literature,polygon,1,40.8471,20.2528,2006,Albania,Visceral
7647,Literature,polygon,1,41.5,19.74,2000,Albania,Visceral
6885,Literature,polygon,1,40.02,20.16,2001,Albania,Visceral
7553,Literature,polygon,1,41.3418,19.4649,2002,Albania,Visceral
7599,Literature,polygon,1,40.5409,19.7997,1995,Albania,Visceral
